playerid,GS,IP
22267.0,32.0,199.765
33677.0,32.0,193.982
27463.0,32.0,192.855
20778.0,32.0,198.055
10603.0,27.54,168.535
17995.0,32.0,199.392
21846.0,29.16,172.018
10954.0,29.16,174.797
12768.0,30.78,181.357
18525.0,30.78,177.809
17295.0,30.78,190.384
10310.0,25.92,154.827
13743.0,30.78,189.434
25880.0,30.78,184.176
19959.0,30.78,180.975
33825.0,25.92,154.428
9132.0,29.16,174.547
21390.0,29.16,172.8
30279.0,32.0,195.095
17277.0,29.16,171.504
25385.0,30.78,171.003
21483.0,24.3,142.175
22250.0,29.16,166.486
25436.0,30.78,178.218
16162.0,27.54,167.715
22100.0,30.78,177.273
16149.0,30.78,180.677
14107.0,30.78,185.401
19853.0,29.16,166.513
14374.0,24.3,138.55
24586.0,25.92,145.078
13543.0,24.3,141.694
18679.0,29.16,168.291
22201.0,29.16,161.264
27498.0,27.54,160.846
15454.0,29.16,174.053
27768.0,27.54,154.035
17479.0,29.16,163.146
20633.0,30.78,177.726
19755.0,22.68,116.914
26221.0,30.78,174.756
18684.0,30.78,186.581
35333.0,21.06,123.1
26378.0,27.54,157.14
29839.0,24.3,151.594
15689.0,30.78,181.473
12970.0,27.54,158.921
25377.0,30.78,178.185
30134.0,30.78,182.086
16137.0,27.54,161.648
24492.0,22.68,128.892
17594.0,30.78,179.816
15440.0,29.16,173.75
21455.0,24.3,149.332
11156.0,27.54,160.512
20302.0,29.16,169.662
27473.0,25.92,155.867
19291.0,30.78,183.879
20492.0,27.54,150.592
35456.0,22.68,145.861
21844.0,22.68,135.036
17920.0,19.44,138.808
29911.0,29.16,170.317
33703.0,25.92,149.04
16432.0,22.68,141.276
13361.0,22.68,139.556
19427.0,19.44,123.834
21224.0,27.54,159.594
13125.0,22.68,134.18
30122.0,30.78,177.33
27468.0,24.3,148.721
12304.0,29.16,179.374
14078.0,29.16,170.047
33829.0,25.92,152.374
21690.0,25.92,139.701
16400.0,24.3,154.047
22286.0,25.92,149.479
27474.0,24.3,149.11
13649.0,27.54,153.997
29868.0,25.92,162.414
27782.0,29.16,166.547
22264.0,27.54,158.884
23920.0,27.54,156.091
31687.0,29.16,168.339
15890.0,29.16,172.823
17677.0,29.16,166.053
12447.0,27.54,161.288
27863.0,17.82,106.921
23793.0,22.68,147.481
22543.0,22.68,134.534
31827.0,19.44,118.807
8700.0,25.92,143.292
11486.0,30.78,179.798
24728.0,24.3,139.597
22182.0,14.58,82.5557
15873.0,21.06,136.065
11674.0,27.54,161.456
32095.0,22.68,126.418
19716.0,25.92,161.221
30146.0,27.54,149.683
30184.0,25.92,148.366
20387.0,21.06,134.042
26253.0,27.54,163.823
31846.0,14.58,86.5096
13164.0,22.68,133.511
31623.0,24.3,142.852
31757.0,0.0,66.0
16256.0,29.16,167.643
13774.0,24.3,146.79
15823.0,25.92,151.675
25977.0,24.3,135.312
35323.0,17.82,117.392
25098.0,22.68,124.034
31838.0,19.44,123.466
30182.0,21.06,133.902
23335.0,21.06,148.827
29837.0,25.92,143.442
16358.0,25.92,147.981
23796.0,19.44,124.313
24494.0,24.3,139.042
12730.0,21.06,144.26
31986.0,22.68,129.165
21448.0,27.54,159.071
29869.0,22.68,137.373
30113.0,25.92,147.977
17312.0,14.58,82.9657
22294.0,27.54,157.409
26108.0,24.3,136.298
14168.0,19.44,142.763
19479.0,24.3,133.718
33927.0,3.24,94.7429
22487.0,14.58,107.997
31872.0,24.3,134.044
21029.0,0.0,70.0
19447.0,9.72,95.726
31843.0,16.2,109.033
3137.0,16.2,108.498
31475.0,14.58,98.0805
20099.0,22.68,139.779
14120.0,19.44,116.459
20253.0,0.0,68.0
16944.0,19.44,124.15
33876.0,21.06,129.177
27500.0,27.54,157.398
9803.0,25.92,143.073
14710.0,0.0,66.0
30076.0,22.68,129.902
12718.0,25.92,147.313
14843.0,25.92,148.909
19350.0,21.06,135.152
27867.0,0.0,70.0
11423.0,25.92,147.773
27779.0,21.06,124.097
27889.0,9.72,78.4178
22210.0,0.0,70.0
15474.0,22.68,135.341
10233.0,0.0,62.0
33174.0,11.34,98.638
32227.0,19.44,122.969
27758.0,17.82,111.274
27932.0,12.96,103.055
18383.0,11.34,102.289
15130.0,4.86,82.702
16609.0,0.0,68.0
29878.0,25.92,142.05
27589.0,21.06,122.88
29608.0,11.34,78.3426
17606.0,27.54,157.49
14212.0,0.0,61.0
25327.0,0.0,72.0
17897.0,0.0,66.0
35321.0,21.06,115.827
19569.0,0.0,65.0
27756.0,22.68,135.795
20191.0,0.0,70.0
21446.0,16.2,107.378
17780.0,0.0,64.0
23590.0,1.62,58.8735
29812.0,9.72,80.0967
17432.0,0.0,63.0
33850.0,11.34,86.0885
19769.0,0.0,68.0
17722.0,0.0,66.0
20373.0,0.0,64.0
31972.0,11.34,103.505
27691.0,0.0,67.0
21052.0,11.34,102.47
15038.0,22.68,132.404
15816.0,0.0,64.0
15507.0,0.0,52.0
21504.0,19.44,123.311
19867.0,17.82,110.548
20531.0,6.48,86.0952
7048.0,0.0,61.0
9323.0,16.2,90.0799
30056.0,6.48,51.1723
17586.0,0.0,63.0
30115.0,0.0,67.0
11847.0,0.0,54.0
31776.0,0.0,63.0
17998.0,0.0,62.0
20039.0,0.0,68.0
25756.0,0.0,63.0
18138.0,0.0,64.0
13799.0,0.0,66.0
33666.0,4.86,39.3189
21306.0,11.34,103.236
23550.0,3.24,85.0772
33482.0,22.68,121.211
19361.0,6.48,37.8372
19804.0,0.0,63.0
24763.0,14.58,120.146
23301.0,8.1,85.5756
27572.0,3.24,66.7327
21487.0,8.1,74.7699
24017.0,0.0,70.0
33527.0,11.34,63.9962
30160.0,22.68,134.833
21992.0,0.0,64.0
25007.0,0.0,61.0
27597.0,8.1,73.6916
20539.0,0.0,62.0
17425.0,17.82,108.032
16258.0,0.0,60.0
27514.0,4.86,53.48
19360.0,0.0,62.0
17170.0,0.0,58.0
31730.0,14.58,105.489
12572.0,0.0,58.0
19249.0,0.0,63.0
23363.0,0.0,64.0
11426.0,0.0,58.0
19996.0,0.0,65.0
20423.0,0.0,63.0
27517.0,0.0,65.0
35466.0,4.86,44.9371
14739.0,1.62,65.8424
16727.0,0.0,44.0
15551.0,0.0,64.0
30240.0,12.96,89.4066
12880.0,17.82,102.147
19343.0,0.0,42.0
17130.0,0.0,66.0
24719.0,24.3,141.464
19677.0,0.0,61.0
16943.0,1.62,68.9753
29921.0,12.96,87.1013
27914.0,0.0,67.0
31461.0,0.0,48.0
21461.0,0.0,68.0
11861.0,0.0,60.0
12317.0,8.1,84.6363
25890.0,0.0,67.0
19876.0,0.0,62.0
31807.0,3.24,53.311
25463.0,9.72,83.9141
25942.0,0.0,56.0
29914.0,4.86,55.1442
26410.0,12.96,71.8635
22717.0,0.0,60.0
16122.0,0.0,63.0
10078.0,0.0,66.0
26231.0,0.0,72.0
18655.0,0.0,52.0
32157.0,3.24,27.7599
21649.0,6.48,76.0707
12095.0,0.0,56.0
21345.0,0.0,52.0
16511.0,6.48,48.2393
16990.0,0.0,62.0
26448.0,8.1,72.4786
29950.0,0.0,64.0
14916.0,6.48,35.9874
25648.0,0.0,61.0
15009.0,0.0,64.0
20367.0,0.0,46.0
4301.0,0.0,43.0
25911.0,0.0,60.0
31204.0,4.86,64.4498
13594.0,0.0,60.0
14771.0,0.0,66.0
18548.0,0.0,44.0
13449.0,0.0,61.0
27552.0,0.0,65.0
21574.0,0.0,54.0
11836.0,16.2,121.496
24993.0,0.0,65.0
19899.0,3.24,32.0014
30107.0,1.62,39.1618
13932.0,0.0,62.0
13431.0,9.72,52.4315
20000.0,3.24,72.2531
19178.0,0.0,58.0
12828.0,0.0,60.0
6902.0,8.1,44.6991
20422.0,0.0,56.0
9073.0,0.0,56.0
13580.0,0.0,64.0
30133.0,0.0,52.0
22288.0,0.0,60.0
16918.0,0.0,67.0
20348.0,0.0,63.0
22191.0,3.24,75.5479
30094.0,3.24,32.8804
24453.0,0.0,22.0
29514.0,8.1,53.932
27494.0,0.0,63.0
19618.0,0.0,54.0
22872.0,3.24,62.0514
19349.0,0.0,58.0
18297.0,0.0,63.0
13293.0,0.0,44.0
13619.0,0.0,65.0
31967.0,8.1,45.536
12857.0,0.0,68.0
25679.0,0.0,46.0
26048.0,1.62,29.0573
15734.0,0.0,68.0
15145.0,0.0,62.0
26440.0,3.24,55.6022
20997.0,0.0,68.0
13435.0,0.0,61.0
26252.0,0.0,62.0
19316.0,1.62,56.8381
19574.0,0.0,64.0
12988.0,0.0,54.0
22630.0,4.86,54.662
3096.0,0.0,60.0
27626.0,0.0,60.0
17878.0,0.0,68.0
35325.0,1.62,27.234
31635.0,8.1,52.7814
18323.0,0.0,60.0
6984.0,0.0,60.0
10061.0,0.0,62.0
17734.0,0.0,28.0
24607.0,0.0,56.0
17639.0,0.0,58.0
24282.0,1.62,54.709
27792.0,3.24,30.289
27669.0,6.48,59.1998
24609.0,0.0,52.0
19666.0,4.86,45.1727
26260.0,0.0,59.0
20020.0,0.0,64.0
24614.0,0.0,64.0
15541.0,0.0,74.0
26389.0,1.62,25.9128
22304.0,0.0,58.0
14993.0,0.0,54.0
24975.0,3.24,71.982
27974.0,1.62,23.18
14874.0,0.0,50.0
19911.0,1.62,51.0733
23499.0,1.62,31.9829
19742.0,0.0,61.0
25376.0,0.0,60.0
19362.0,0.0,66.0
27668.0,0.0,52.0
20116.0,0.0,64.0
31468.0,0.0,30.0
27636.0,3.24,49.7087
27581.0,1.62,30.994
18341.0,0.0,38.0
19924.0,0.0,48.0
17556.0,0.0,77.0
19753.0,0.0,44.0
18064.0,0.0,65.0
31508.0,16.2,90.4061
30249.0,0.0,54.0
25582.0,0.0,34.0
30074.0,0.0,52.0
19531.0,0.0,32.0
3548.0,0.0,34.0
19926.0,0.0,70.0
21267.0,0.0,53.0
24986.0,0.0,45.0
30055.0,1.62,21.8504
19261.0,0.0,40.0
29629.0,0.0,65.0
24580.0,17.82,99.9094
29770.0,0.0,60.0
24995.0,0.0,52.0
20666.0,0.0,11.0
14706.0,0.0,56.0
25215.0,0.0,38.0
30170.0,4.86,53.0001
25139.0,0.0,54.0
16207.0,4.86,26.8397
27694.0,0.0,65.0
21527.0,0.0,33.0
14295.0,0.0,57.0
21101.0,0.0,34.0
33838.0,0.0,36.0
13346.0,0.0,60.0
21546.0,0.0,27.0
23237.0,0.0,66.0
22051.0,0.0,52.0
23394.0,0.0,61.0
19883.0,0.0,52.0
5615.0,0.0,48.0
17968.0,0.0,62.0
27702.0,0.0,50.0
29863.0,8.1,64.2304
20375.0,0.0,65.0
20349.0,0.0,58.0
8779.0,4.86,27.0748
15947.0,0.0,60.0
31676.0,3.24,30.0961
28036.0,0.0,18.0
21894.0,0.0,54.0
20794.0,0.0,16.0
14542.0,0.0,65.0
19374.0,4.86,48.0323
19205.0,0.0,36.0
33980.0,1.62,33.234
21741.0,1.62,60.8488
25636.0,0.0,66.0
19407.0,1.62,17.1487
24937.0,0.0,46.0
27470.0,6.48,77.3854
17381.0,0.0,56.0
17192.0,0.0,40.0
6107.0,0.0,52.0
23429.0,3.24,33.6981
27688.0,4.86,54.3695
17611.0,0.0,52.0
15256.0,0.0,56.0
16977.0,1.62,30.6724
24978.0,0.0,61.0
16647.0,0.0,64.0
19444.0,0.0,56.0
30250.0,0.0,40.0
17859.0,0.0,42.0
27775.0,0.0,42.0
15761.0,0.0,18.0
31701.0,3.24,38.1543
26214.0,0.0,40.0
31312.0,0.0,26.0
22207.0,0.0,52.0
30016.0,1.62,21.234
30140.0,1.62,26.22
20070.0,4.86,74.0142
20160.0,0.0,50.0
26215.0,0.0,59.0
27819.0,1.62,27.8998
29928.0,0.0,46.0
31318.0,6.48,58.6731
16835.0,0.0,58.0
18413.0,14.58,104.22
25703.0,0.0,28.0
30161.0,1.62,43.141
24862.0,0.0,44.0
17578.0,0.0,59.0
20629.0,0.0,68.0
24452.0,0.0,42.0
15094.0,0.0,48.0
31741.0,1.62,27.0121
19409.0,1.62,21.0177
14524.0,0.0,37.0
12777.0,0.0,50.0
29574.0,0.0,25.0
21537.0,0.0,59.0
21623.0,0.0,50.0
20045.0,0.0,14.0
31913.0,0.0,50.0
22361.0,0.0,42.0
26259.0,0.0,52.0
27787.0,0.0,52.0
26944.0,0.0,40.0
17282.0,0.0,42.0
16502.0,1.62,61.0106
30171.0,3.24,58.0285
20517.0,0.0,40.0
31764.0,1.62,49.0042
15042.0,0.0,31.0
21520.0,0.0,66.0
31553.0,0.0,42.0
16350.0,0.0,21.0
22533.0,0.0,18.0
23292.0,0.0,14.0
32026.0,0.0,24.0
18403.0,0.0,60.0
30105.0,0.0,79.0
33248.0,0.0,42.0
20546.0,0.0,56.0
17735.0,1.62,66.7568
21420.0,0.0,42.0
26079.0,0.0,50.0
11384.0,0.0,48.0
23165.0,0.0,45.0
18439.0,0.0,20.0
19646.0,0.0,40.0
27707.0,0.0,16.0
26413.0,0.0,28.0
25501.0,0.0,46.0
22713.0,0.0,18.0
29107.0,0.0,52.0
21205.0,0.0,52.0
17964.0,0.0,31.0
6655.0,0.0,34.0
26463.0,0.0,20.0
19614.0,0.0,57.0
19481.0,0.0,52.0
16561.0,1.62,8.8507
11804.0,0.0,22.0
33821.0,0.0,20.0
21662.0,0.0,58.0
13892.0,0.0,58.0
27487.0,1.62,22.8029
13133.0,0.0,24.0
27483.0,0.0,22.0
30004.0,3.24,25.487
33826.0,0.0,48.0
30142.0,1.62,34.1273
33294.0,0.0,42.0
23150.0,0.0,16.0
27765.0,0.0,24.0
21319.0,0.0,6.0
18864.0,1.62,39.1507
25386.0,0.0,18.0
13218.0,0.0,13.0
23455.0,0.0,24.0
20333.0,0.0,32.0
17888.0,0.0,32.0
29960.0,0.0,8.0
24737.0,0.0,24.0
19312.0,1.62,8.4515
16061.0,0.0,8.0
30031.0,1.62,33.0807
19320.0,0.0,38.0
33908.0,0.0,34.0
6175.0,0.0,25.0
30084.0,0.0,15.0
20271.0,0.0,33.0
33628.0,1.62,9.0841
19330.0,0.0,58.0
14332.0,0.0,53.0
19795.0,0.0,55.0
25918.0,0.0,12.0
15043.0,0.0,20.0
25550.0,1.62,9.1046
19222.0,0.0,48.0
23779.0,0.0,54.0
24930.0,0.0,42.0
30180.0,3.24,68.1543
20385.0,0.0,64.0
25589.0,0.0,10.0
10591.0,0.0,32.0
31616.0,0.0,58.0
27649.0,0.0,56.0
33568.0,0.0,56.0
19524.0,1.62,20.234
20185.0,0.0,24.0
18337.0,0.0,24.0
26443.0,6.48,36.3229
30085.0,0.0,55.0
23488.0,0.0,44.0
16074.0,0.0,8.0
31261.0,0.0,40.0
29519.0,0.0,58.0
21584.0,0.0,21.0
11752.0,0.0,40.0
27984.0,0.0,10.0
15467.0,1.62,9.0626
23313.0,0.0,64.0
31989.0,1.62,19.1668
19337.0,0.0,8.0
26304.0,0.0,10.0
10315.0,0.0,33.0
12056.0,0.0,24.0
19932.0,0.0,16.0
14527.0,0.0,30.0
26257.0,0.0,42.0
27681.0,0.0,10.0
21032.0,0.0,1.0
24914.0,0.0,21.0
9761.0,0.0,1.0
26429.0,0.0,24.0
17969.0,0.0,12.0
24581.0,0.0,18.0
22387.0,0.0,1.0
27695.0,0.0,1.0
8241.0,0.0,1.0
23974.0,0.0,1.0
19586.0,0.0,1.0
16814.0,0.0,66.0
24094.0,0.0,1.0
23055.0,0.0,1.0
15690.0,0.0107,1.0
33834.0,0.0,38.0
23221.0,0.0102,1.0
16866.0,0.0032,1.0
5097.0,0.0,1.0
6576.0,0.0,1.0
23307.0,0.0,14.0
18186.0,0.0,1.0
19871.0,0.0,8.0
17536.0,0.0,1.0
12972.0,0.0,12.0
7005.0,0.0,1.0
23809.0,0.0602,1.0
23293.0,0.0,1.0
20802.0,0.0,1.0
30145.0,0.0,23.0
21065.0,0.034,1.0
17793.0,0.0,1.0
29615.0,0.0,52.0
20491.0,0.0,1.0
21620.0,0.0,1.0
14681.0,0.0,1.0
16507.0,0.0,26.0
11121.0,1.62,9.234
24977.0,0.0,1.0
17359.0,0.01,1.0
14857.0,0.0,1.0
21481.0,0.0428,1.0
7146.0,0.0,1.0
18421.0,0.0,1.0
19459.0,0.0,1.0
3184.0,0.0,1.0
15915.0,0.0,1.0
17369.0,0.0035,1.0
17169.0,0.0,1.0
18593.0,0.0,1.0
21453.0,0.0,8.0
19848.0,0.0,1.0
24750.0,0.0,1.0
19225.0,0.0,1.0
19995.0,0.0,1.0
19558.0,0.0,1.0
15100.0,0.0,1.0
23162.0,0.0,50.0
13607.0,0.0,1.0
10197.0,0.0,1.0
15488.0,8.1,94.877
20205.0,0.0,1.0
18792.0,0.0,1.0
16440.0,0.0,1.0
27590.0,0.0,11.0
25873.0,0.0,1.0
16300.0,0.0,1.0
15264.0,0.0,1.0
11487.0,0.0,1.0
20231.0,0.0,1.0
27624.0,0.0132,1.0
18674.0,0.0,1.0
14764.0,0.0,1.0
23617.0,0.0,1.0
5448.0,0.0,1.0
20167.0,0.0,1.0
6399.0,0.0,1.0
19951.0,0.0,1.0
14375.0,0.0,1.0
21025.0,0.0,1.0
24493.0,0.0,1.0
16703.0,0.0,1.0
18496.0,0.0,1.0
21866.0,0.0,1.0
24590.0,0.0,1.0
1246.0,0.0,1.0
15968.0,0.0,1.0
5365.0,0.0,1.0
14825.0,0.0026,1.0
23324.0,0.0,1.0
4185.0,0.0,1.0
25178.0,0.0,1.0
15849.0,0.0,1.0
13767.0,0.0,1.0
25645.0,0.0,1.0
11760.0,0.0,1.0
21189.0,0.0,1.0
