playerid,GS,IP
12808.0,1.62,39.0731
20298.0,0.0,1.0
16135.0,0.0,1.0
18325.0,0.0,1.0
1247.0,0.0,1.0
18318.0,0.0702,1.0
14416.0,0.0,16.0
21238.0,0.0814,1.0
14646.0,0.0,1.0
7982.0,0.0,1.0
21652.0,0.0342,1.0
26344.0,0.0,1.0
9784.0,0.0123,1.0
20617.0,0.0,1.0
22176.0,0.0,40.0
13528.0,0.0,1.0
21092.0,0.0,1.0
17759.0,0.0,1.0
19940.0,0.0,1.0
16587.0,0.0,1.0
25553.0,0.0,1.0
23091.0,0.0,1.0
12784.0,0.0,1.0
17281.0,0.0,1.0
27608.0,0.0,12.0
22982.0,0.0,1.0
13050.0,0.0619,1.0
10343.0,0.0,1.0
20009.0,0.0244,1.0
18311.0,0.0,1.0
16942.0,0.0,1.0
20023.0,0.0,56.0
17464.0,0.0095,1.0
12910.0,0.0,1.0
21922.0,0.0,1.0
14696.0,0.0,1.0
18769.0,0.0,1.0
14552.0,0.0,1.0
21229.0,0.0,1.0
19835.0,0.0,1.0
11176.0,0.0,1.0
19200.0,0.0,1.0
5003.0,0.0,1.0
4994.0,0.0,1.0
16279.0,0.0,1.0
21541.0,0.0619,1.0
25078.0,0.0,1.0
19805.0,0.0,1.0
31751.0,0.0,1.0
27812.0,0.0,1.0
21858.0,0.0,1.0
7738.0,0.0091,1.0
19454.0,0.0,1.0
18347.0,0.0168,1.0
13424.0,0.0,1.0
17796.0,0.0,1.0
19285.0,0.0,1.0
12997.0,0.0,1.0
19264.0,0.0258,1.0
14420.0,0.0,1.0
14510.0,0.0,1.0
17871.0,0.0,1.0
23391.0,0.0,1.0
19868.0,0.0,1.0
9013.0,0.0,1.0
22175.0,0.0,1.0
22284.0,0.0237,1.0
12673.0,0.0,1.0
24606.0,0.0,1.0
21955.0,0.0,1.0
15369.0,0.0,1.0
33168.0,0.0,8.0
18384.0,0.0,12.0
13276.0,0.0,1.0
17304.0,0.0,1.0
8801.0,0.0,1.0
11209.0,0.0,1.0
14665.0,0.0,1.0
15068.0,0.0,1.0
22116.0,0.0,1.0
26136.0,0.0,1.0
27942.0,0.0,1.0
20038.0,0.0,1.0
20206.0,0.0,1.0
2895.0,0.0,1.0
22810.0,0.0,1.0
18498.0,0.0,1.0
18592.0,0.0,1.0
21018.0,0.0105,1.0
8337.0,0.0,1.0
13394.0,0.0,1.0
19456.0,0.0128,1.0
6483.0,0.0,1.0
22370.0,0.0,1.0
26285.0,0.0,1.0
13801.0,0.0,1.0
33828.0,0.0,1.0
21310.0,0.0,1.0
25388.0,0.0,1.0
26203.0,0.0,1.0
7432.0,0.0,1.0
19535.0,0.0,1.0
21183.0,0.0,1.0
10066.0,0.0,1.0
17860.0,0.0,1.0
21324.0,0.0,1.0
26790.0,0.0,26.0
17034.0,0.0,1.0
18333.0,0.0,1.0
19159.0,0.0,1.0
26024.0,0.0086,1.0
7274.0,0.013,1.0
19736.0,0.0121,1.0
14288.0,0.0,1.0
23631.0,0.0,1.0
15832.0,0.0,1.0
17186.0,0.0,1.0
23252.0,0.0625,1.0
20080.0,0.0,1.0
13763.0,0.0,1.0
19874.0,0.0254,1.0
11437.0,0.0,1.0
18282.0,0.0,1.0
18815.0,0.0,1.0
15605.0,0.0,1.0
18806.0,0.0,1.0
19529.0,0.0,1.0
25420.0,0.0,57.0
19820.0,0.0,1.0
17085.0,0.1754,1.0
6562.0,0.1195,1.0
24968.0,0.1754,1.0
26056.0,0.1754,1.0
21318.0,0.1754,1.0
19879.0,0.1754,1.0
2036.0,0.1684,1.0
19665.0,0.1453,1.0
13074.0,0.1714,1.0
20395.0,0.1072,1.0
19546.0,0.1754,1.0
15792.0,0.1096,1.0
14844.0,0.1754,1.0
11694.0,0.1754,1.0
4676.0,0.1554,1.0
10123.0,0.1754,1.0
23735.0,0.1754,1.0
14765.0,0.1754,1.0
11157.0,0.1754,1.0
27646.0,0.1754,1.0
14309.0,0.1528,1.0
14444.0,0.1754,1.0
2520.0,0.1754,1.0
24602.0,0.1754,1.0
19388.0,0.1754,1.0
20638.0,0.1754,1.0
27451.0,0.174,1.0
17874.0,0.1754,1.0
17030.0,0.1754,1.0
9434.0,0.1754,1.0
20370.0,0.1754,1.0
27505.0,0.1579,1.0
11828.0,0.1754,1.0
15688.0,0.1754,1.0
20468.0,0.1754,1.0
19865.0,0.1539,1.0
12499.0,0.1754,1.0
1943.0,0.1614,1.0
16401.0,0.1754,1.0
19680.0,0.1393,1.0
26058.0,0.1418,1.0
11776.0,0.1688,1.0
15423.0,0.167,1.0
31900.0,0.1754,1.0
17581.0,0.1754,1.0
30661.0,0.1754,1.0
13781.0,0.1754,1.0
13046.0,0.1567,1.0
20548.0,0.1754,1.0
13273.0,0.1488,1.0
33699.0,0.1689,1.0
14361.0,0.1386,1.0
12272.0,0.1426,1.0
2429.0,0.133,1.0
6632.0,0.1572,1.0
19675.0,0.1465,1.0
20430.0,0.1272,1.0
8004.0,0.1682,1.0
12049.0,0.1754,1.0
23191.0,0.1754,1.0
12703.0,0.1754,1.0
30203.0,0.1754,1.0
6797.0,0.1754,1.0
20565.0,0.1754,1.0
26190.0,0.1754,1.0
12790.0,0.1754,1.0
14391.0,0.1754,1.0
16904.0,0.1754,1.0
16017.0,0.1742,1.0
4806.0,0.1754,1.0
17732.0,0.1342,1.0
5257.0,0.1754,1.0
6345.0,0.1754,1.0
2233.0,0.1754,1.0
20369.0,0.1754,1.0
20132.0,0.1754,1.0
12699.0,0.1754,1.0
22092.0,0.1644,1.0
15463.0,0.1754,1.0
13684.0,0.1432,1.0
4776.0,0.1474,1.0
29832.0,0.1754,1.0
14932.0,0.1754,1.0
27458.0,0.1589,1.0
17489.0,0.1754,1.0
25928.0,0.124,1.0
14862.0,0.1579,1.0
5372.0,0.1754,1.0
15764.0,0.1754,1.0
6893.0,0.1754,1.0
11762.0,0.1754,1.0
13183.0,0.1754,1.0
19206.0,0.1754,1.0
16269.0,0.1754,1.0
10732.0,0.1493,1.0
27685.0,0.1228,1.0
18699.0,0.1754,1.0
19269.0,0.1754,1.0
16106.0,0.1739,1.0
19705.0,0.1272,1.0
1994.0,0.1754,1.0
19671.0,0.1716,1.0
4001.0,0.1754,1.0
18376.0,0.1754,1.0
13339.0,0.166,1.0
12917.0,0.1754,1.0
6397.0,0.1705,1.0
19244.0,0.1312,1.0
11490.0,0.1296,1.0
9460.0,0.1733,1.0
4869.0,0.1712,1.0
10021.0,0.1754,1.0
29823.0,0.1754,1.0
13345.0,0.1688,1.0
3542.0,0.1726,1.0
27582.0,0.1579,1.0
20237.0,0.1754,1.0
18331.0,0.1677,1.0
19457.0,0.1754,1.0
3284.0,0.1754,1.0
19979.0,0.1754,1.0
7608.0,0.1754,1.0
19268.0,0.1754,1.0
5524.0,0.1754,1.0
23465.0,0.1216,1.0
25777.0,0.1653,1.0
20739.0,0.1754,1.0
16125.0,0.1754,1.0
12664.0,0.1754,1.0
25650.0,0.1188,1.0
20175.0,0.1732,1.0
13331.0,0.1754,1.0
26171.0,0.1754,1.0
29833.0,0.1591,1.0
19712.0,0.0,1.0
9111.0,0.0,1.0
13287.0,0.0,1.0
7803.0,0.0,1.0
31839.0,0.0407,1.0
4338.0,0.0,1.0
15047.0,0.0,1.0
12323.0,0.0,1.0
19731.0,0.0,1.0
25551.0,0.0,1.0
22192.0,0.0,1.0
17480.0,0.0,1.0
20277.0,0.0,1.0
22318.0,0.0,1.0
19315.0,0.0,1.0
20447.0,0.0,1.0
16201.0,0.0,1.0
19243.0,0.0388,1.0
25474.0,0.0,1.0
20515.0,0.0,1.0
9646.0,0.0,1.0
26226.0,0.0,1.0
21850.0,0.0,1.0
18152.0,0.0,1.0
18790.0,0.0402,1.0
2859.0,0.0,1.0
21163.0,0.0,1.0
20190.0,0.0,1.0
3862.0,0.0,1.0
19345.0,0.0319,1.0
11801.0,0.0,1.0
7531.0,0.0049,1.0
25663.0,0.0,1.0
24681.0,0.0,1.0
12022.0,0.0,1.0
24933.0,0.0,1.0
16094.0,0.0,1.0
17092.0,0.0,1.0
21298.0,0.0751,1.0
21997.0,0.0,1.0
16958.0,0.0,1.0
17149.0,0.0763,1.0
21212.0,0.0,1.0
29530.0,0.0379,1.0
30153.0,0.0,8.0
35324.0,0.0302,1.0
10058.0,0.0,1.0
17264.0,0.0,1.0
27908.0,0.0,1.0
15684.0,0.0,1.0
16390.0,0.0,1.0
25379.0,0.0,1.0
1581.0,0.0,1.0
20383.0,0.0,1.0
18555.0,0.0,1.0
14682.0,0.0,1.0
1890.0,0.0,1.0
15046.0,0.0,1.0
20339.0,0.0,1.0
17952.0,0.0,1.0
10354.0,0.0,1.0
7593.0,0.0,1.0
10855.0,0.0,1.0
5358.0,0.0,1.0
21197.0,0.0458,1.0
26128.0,0.0,1.0
12178.0,0.0,1.0
19789.0,0.0,1.0
19784.0,0.0,1.0
13182.0,0.0,1.0
16455.0,0.007,1.0
15239.0,0.0,1.0
26364.0,0.0,1.0
18300.0,0.0,1.0
21761.0,0.0,1.0
16754.0,0.0,1.0
21281.0,0.0,1.0
19866.0,0.0,1.0
15007.0,0.0,1.0
17792.0,0.0,1.0
20643.0,0.0,1.0
16588.0,0.0665,1.0
29946.0,0.0,1.0
18356.0,0.0582,1.0
17179.0,0.0,1.0
17181.0,0.0,1.0
27453.0,0.0142,1.0
13761.0,0.0,1.0
22913.0,0.0,1.0
30179.0,0.0468,1.0
26907.0,0.0,1.0
19962.0,0.1051,1.0
14506.0,0.0,1.0
29564.0,0.0,1.0
27477.0,0.0,1.0
21131.0,0.0,15.0
20476.0,0.0,1.0
25665.0,0.0,1.0
14986.0,0.0,1.0
25416.0,0.0,1.0
21859.0,0.0,1.0
19199.0,0.0,1.0
11341.0,0.0,1.0
13896.0,0.0161,1.0
15010.0,0.0,1.0
10341.0,0.0,1.0
20153.0,0.0,1.0
25667.0,0.0,1.0
19686.0,0.0,1.0
13475.0,0.0,1.0
25862.0,0.0,1.0
11589.0,0.0698,1.0
12760.0,0.0,24.0
13190.0,0.0,1.0
20418.0,0.0411,1.0
1157.0,0.0,1.0
16318.0,0.0,1.0
12575.0,0.0,1.0
12918.0,0.0,1.0
18519.0,0.0,1.0
20074.0,0.0,1.0
25368.0,0.0,1.0
19695.0,0.0,1.0
14099.0,0.0732,1.0
21366.0,0.0,1.0
23381.0,0.0,12.0
20462.0,0.0,1.0
23135.0,0.0,1.0
20555.0,0.0419,1.0
31815.0,0.0,60.0
12249.0,0.0,1.0
21023.0,0.0074,1.0
5114.0,0.0,1.0
23875.0,0.0,1.0
17117.0,0.0,1.0
10160.0,0.0,1.0
16306.0,0.0,1.0
10843.0,0.0,1.0
14677.0,0.0,1.0
30002.0,0.0,17.0
19281.0,0.0,1.0
23265.0,0.0,1.0
18332.0,0.0,1.0
16873.0,0.0,1.0
6661.0,0.0,1.0
15855.0,0.0,1.0
17485.0,0.0,1.0
25075.0,0.0,1.0
30206.0,0.0,1.0
24363.0,0.0,1.0
13758.0,0.0,1.0
10291.0,0.0,1.0
15444.0,0.0,1.0
16929.0,0.0,1.0
20177.0,0.0,1.0
6316.0,0.0028,1.0
13696.0,0.0,1.0
20589.0,0.0516,1.0
25071.0,0.0,1.0
27508.0,0.0,1.0
17821.0,0.0042,1.0
16459.0,0.0,1.0
20227.0,0.0,1.0
19785.0,0.0,1.0
19800.0,0.0,1.0
17292.0,0.0142,1.0
3321.0,0.0,1.0
23420.0,0.0,1.0
15106.0,0.0,1.0
16470.0,0.0,1.0
26068.0,0.0,1.0
17496.0,0.0,1.0
24458.0,0.0,1.0
20060.0,0.0,1.0
19580.0,0.0,1.0
22323.0,0.0,1.0
21513.0,0.0,1.0
31598.0,0.0,1.0
21956.0,0.0,1.0
16631.0,0.0,1.0
22690.0,0.0,1.0
19453.0,0.0,1.0
19583.0,0.0,1.0
12890.0,0.0,1.0
10314.0,0.0,1.0
24604.0,0.0028,1.0
17877.0,0.0975,1.0
15949.0,0.0,1.0
21327.0,0.0,1.0
17505.0,0.0,1.0
20042.0,0.0,1.0
11720.0,0.0,1.0
15071.0,0.0,1.0
19482.0,0.0,1.0
25839.0,0.0,1.0
13707.0,0.0,1.0
14814.0,0.0049,1.0
18088.0,0.0,1.0
26952.0,0.0253,1.0
19903.0,0.0,1.0
15157.0,0.0,1.0
25413.0,0.0,1.0
22187.0,0.0,1.0
8048.0,0.0,1.0
5530.0,0.0,1.0
19179.0,0.0,1.0
4264.0,0.0,1.0
16233.0,0.0,22.0
25348.0,0.0,1.0
24486.0,0.0,1.0
14975.0,0.0098,1.0
7550.0,0.0,1.0
19231.0,0.0,1.0
23095.0,0.0,1.0
6109.0,0.0325,1.0
20323.0,0.0,1.0
20276.0,0.0,1.0
27910.0,0.0502,1.0
7115.0,0.0,1.0
17285.0,0.0753,1.0
26030.0,0.0,1.0
23592.0,0.0,1.0
10430.0,0.0,1.0
23460.0,0.0165,1.0
13442.0,0.0439,1.0
13764.0,0.0,1.0
6398.0,0.0,1.0
26152.0,0.0,1.0
13654.0,0.0,1.0
22925.0,0.0658,1.0
22296.0,0.0,1.0
19981.0,0.0319,1.0
22310.0,0.0591,1.0
24935.0,0.0,1.0
16981.0,0.0,1.0
13403.0,0.0,1.0
19647.0,0.0526,1.0
21544.0,0.0,42.0
20209.0,0.0,1.0
19309.0,0.0,1.0
21728.0,0.006,1.0
22273.0,0.0,1.0
20198.0,0.0,1.0
13483.0,0.0,1.0
11812.0,0.0,1.0
19766.0,0.0,1.0
27585.0,0.0,1.0
16408.0,0.0,1.0
31884.0,0.0,1.0
20379.0,0.0,1.0
10756.0,0.0,1.0
13699.0,0.0,1.0
6895.0,0.0049,1.0
13397.0,0.0,1.0
20541.0,0.0,1.0
15552.0,0.0,41.0
20018.0,0.0,1.0
19545.0,0.0,1.0
16537.0,0.0,1.0
23449.0,0.0,1.0
19881.0,0.0,1.0
21111.0,0.0288,1.0
19266.0,0.0,1.0
15288.0,0.0,1.0
18600.0,0.0,1.0
18000.0,0.0,1.0
14719.0,0.0267,1.0
14663.0,0.0,1.0
22932.0,0.0,33.0
13420.0,0.0,1.0
22828.0,0.0,1.0
11294.0,0.0649,1.0
16980.0,0.0668,1.0
15492.0,0.0,1.0
19493.0,0.0,1.0
19541.0,0.0047,1.0
21896.0,0.0144,1.0
15885.0,0.1023,1.0
26270.0,0.0861,1.0
22224.0,0.0,1.0
14966.0,0.0,1.0
14899.0,0.0,1.0
17701.0,0.0,1.0
21093.0,0.0,1.0
18615.0,0.0,1.0
14467.0,0.0,1.0
27967.0,0.0,1.0
19518.0,0.0,1.0
20494.0,0.0,1.0
21367.0,0.0,1.0
10657.0,0.0,1.0
13942.0,0.0,60.0
18105.0,0.0,1.0
19191.0,0.0439,1.0
27536.0,0.0,1.0
22248.0,0.024,1.0
21170.0,0.0,1.0
29891.0,0.0,1.0
12863.0,0.0,1.0
26034.0,0.0,1.0
10688.0,0.0,1.0
17237.0,0.0,1.0
3281.0,0.0,1.0
16933.0,0.0716,1.0
13690.0,0.0,1.0
27472.0,0.0225,1.0
22052.0,0.0,1.0
20010.0,0.0,1.0
25804.0,0.0,1.0
16418.0,0.0,1.0
25512.0,0.0,1.0
15290.0,0.0,1.0
10547.0,0.01,1.0
20030.0,0.0,1.0
21290.0,0.0,1.0
22253.0,0.0174,1.0
11467.0,0.0,1.0
16610.0,0.0,1.0
27783.0,0.0,1.0
2608.0,0.0,1.0
20041.0,0.0,1.0
20962.0,0.0789,1.0
12800.0,0.0,1.0
24710.0,0.0,34.0
12361.0,0.0,1.0
19548.0,0.0,1.0
30008.0,0.0,1.0
15594.0,0.0,1.0
18694.0,0.0,14.0
8110.0,0.0,1.0
13713.0,0.0,1.0
25481.0,0.0,1.0
25097.0,0.0,1.0
20526.0,0.0981,1.0
29866.0,0.0,24.0
16466.0,0.0107,1.0
22815.0,0.0188,1.0
21241.0,0.0526,1.0
13259.0,0.0,1.0
15139.0,0.0,1.0
18510.0,0.0,1.0
15451.0,0.0644,1.0
24988.0,0.0742,1.0
16128.0,0.0,1.0
15846.0,0.0032,1.0
10133.0,0.0,1.0
9174.0,0.0,1.0
15051.0,0.0,1.0
14655.0,0.0,1.0
11903.0,0.0,1.0
13834.0,0.0,1.0
27513.0,0.0746,1.0
20631.0,0.0,1.0
15126.0,0.0,1.0
12804.0,0.0305,1.0
23223.0,0.0,1.0
14509.0,0.0,1.0
19278.0,0.0,1.0
18135.0,0.0454,1.0
18251.0,0.0,1.0
9817.0,0.0,1.0
20100.0,0.0,1.0
19487.0,0.0314,1.0
25174.0,0.0,1.0
15655.0,0.0,1.0
10337.0,0.0,1.0
17811.0,0.0,1.0
16209.0,0.0,1.0
6986.0,0.0,1.0
26191.0,0.0,60.0
10835.0,0.0,1.0
31533.0,0.0,24.0
18454.0,0.0725,1.0
11632.0,0.0,1.0
27515.0,0.0,1.0
8246.0,0.0811,1.0
18873.0,0.0318,1.0
15101.0,0.0693,1.0
18475.0,0.0,1.0
23425.0,0.0,1.0
18719.0,0.0,1.0
17783.0,0.0,1.0
18335.0,0.0,12.0
25830.0,0.0,1.0
13549.0,0.0,1.0
14875.0,0.0025,1.0
16110.0,0.0333,1.0
17682.0,0.0,1.0
20408.0,0.0,1.0
23811.0,0.0,1.0
26255.0,0.0,1.0
23798.0,0.0,10.0
15036.0,0.0,1.0
25595.0,0.0,1.0
3237.0,0.0,24.0
27488.0,0.0635,1.0
20061.0,0.0,13.0
15514.0,0.0,36.0
17490.0,0.0,16.0
29633.0,0.0,34.0
22343.0,0.0,1.0
29754.0,0.0,50.0
11189.0,0.0,8.0
23443.0,0.0,13.0
17755.0,0.0,21.0
21656.0,0.0,34.0
22915.0,0.0,56.0
29542.0,0.0,55.0
31501.0,0.0,8.0
26213.0,0.0,18.0
19754.0,0.0,17.0
19274.0,0.0,54.0
17948.0,0.0,22.0
21924.0,0.0,30.0
20827.0,0.0,28.0
24591.0,0.0,14.0
30226.0,0.0,70.0
13652.0,0.0,10.0
31883.0,0.0,34.0
25651.0,0.0,26.0
12763.0,0.0,18.0
25921.0,0.0,50.0
26117.0,0.0,9.0
20151.0,0.0,30.0
21549.0,0.0,21.0
31612.0,0.0,26.0
17610.0,0.0,13.0
19588.0,0.0,8.0
21045.0,0.0,22.0
25957.0,0.0,16.0
27481.0,0.0,28.0
23899.0,0.0,10.0
30106.0,0.0,16.0
19990.0,3.24,27.7057
19891.0,0.0,10.0
19403.0,0.0,10.0
19884.0,0.0,10.0
20353.0,0.0,43.0
27583.0,0.0,20.0
27407.0,0.0,22.0
22276.0,0.0,10.0
27753.0,0.0,32.0
27271.0,0.0,27.0
25620.0,0.0,34.0
31571.0,0.0,33.0
23426.0,0.0,38.0
26020.0,0.0,18.0
13470.0,0.0,8.0
21863.0,0.0,50.0
22461.0,0.0,24.0
21132.0,0.0,44.0
16427.0,0.0,24.0
25158.0,0.0,26.0
29271.0,0.0,23.0
27662.0,0.0,24.0
25427.0,0.0,30.0
19976.0,0.0,15.0
23479.0,0.0,40.0
7836.0,0.0,16.0
12791.0,0.0,60.0
31610.0,0.0,40.0
29521.0,0.0,25.0
25311.0,0.0,54.0
18554.0,0.0,42.0
26482.0,0.0,30.0
22113.0,0.0,63.0
20203.0,0.0,24.0
29628.0,0.0,35.0
22200.0,0.0,36.0
18890.0,0.0,34.0
26419.0,0.0,26.0
26353.0,0.0,32.0
11691.0,0.0,40.0
26247.0,0.0,48.0
31184.0,0.0,22.0
26641.0,0.0,45.0
27570.0,0.0,64.0
24203.0,0.0,34.0
21951.0,0.0,50.0
31552.0,0.0,60.0
