mlbam_id,birth_year,birth_month,birth_day,mlb_position
592450,1992,4,26,RF
663728,1996,11,26,C
677951,2000,6,14,SS
660271,1994,7,5,TWP
672695,1999,10,22,SS
607208,1993,6,30,SS
682998,2000,8,21,RF
608070,1992,9,17,3B
596019,1993,11,14,SS
665487,1999,1,2,RF
665742,1998,10,25,RF
665161,1997,9,22,SS
677594,2000,12,29,CF
672580,2000,3,3,3B
691718,2002,3,25,CF
543807,1989,9,19,RF
621439,1993,12,18,CF
656941,1993,3,5,LF
641355,1995,7,13,LF
683002,2001,6,29,SS
663538,1997,5,13,2B
621566,1994,3,29,1B
672386,1998,11,6,C
606466,1993,10,12,2B
691406,2003,7,5,3B
663656,1997,1,17,RF
665862,1998,2,1,2B
668930,1999,11,21,2B
682829,2002,1,11,SS
669257,1995,3,28,C
694671,2001,11,15,LF
669065,1998,1,2,LF
608369,1994,4,27,SS
642715,1995,9,2,SS
518692,1989,9,12,1B
669127,1997,11,18,C
665489,1999,3,16,1B
680776,1996,9,5,LF
666182,1998,3,5,SS
553993,1991,7,18,3B
592518,1992,7,6,3B
678882,2000,9,18,CF
656305,1993,4,28,3B
624413,1994,12,7,1B
686217,2000,4,19,RF
661388,1997,12,24,C
660670,1997,12,18,RF
683737,1997,11,9,1B
547180,1992,10,16,1B
608324,1994,3,30,3B
805779,2002,3,30,SS
691026,2002,3,21,SS
696100,1999,10,8,C
691016,2001,11,24,LF
605141,1992,10,7,SS
646240,1996,10,24,DH
621020,1994,2,11,SS
663757,1996,11,1,CF
664056,1994,6,3,LF
656716,1995,4,29,3B
593428,1992,10,1,SS
676391,1996,3,22,3B
680757,1997,9,5,LF
672275,1999,5,29,C
647304,1997,6,22,1B
687263,2001,1,31,SS
682928,2000,10,3,SS
681082,1997,10,6,2B
657656,1994,7,15,RF
656811,1993,7,26,1B
701538,2003,4,19,CF
607043,1993,3,27,LF
596115,1992,11,15,SS
669224,1999,7,12,C
650490,1991,8,8,1B
571970,1990,8,25,3B
682985,2000,9,28,LF
621493,1993,12,14,LF
680977,1997,1,16,2B
694192,2004,3,11,CF
668227,1995,2,28,LF
630105,1994,1,21,2B
670770,1995,8,14,CF
575929,1992,5,13,1B
664023,1994,8,12,LF
641487,1995,1,11,SS
671056,2000,6,1,C
672515,2000,2,14,C
593871,1993,7,5,2B
673548,1994,8,18,RF
608348,1994,7,14,C
650402,1996,12,13,2B
621043,1994,9,22,SS
666018,1998,5,23,1B
670623,1999,2,18,3B
669364,1999,8,9,SS
667670,1994,11,1,RF
592885,1991,12,5,LF
677800,1999,6,24,RF
669016,1997,12,18,CF
808982,1998,8,20,CF
679529,1999,8,26,1B
683146,1999,11,13,3B
573262,1990,8,23,RF
676694,1996,6,18,CF
672640,1998,10,1,2B
662139,1996,7,2,CF
643289,1994,7,19,2B
676475,1998,11,25,1B
514888,1990,5,6,LF
680777,1997,6,3,C
643446,1992,4,8,2B
592663,1991,3,18,C
676609,1996,8,30,SS
543760,1990,9,17,2B
671732,2000,7,10,RF
669221,1994,10,4,C
519317,1989,11,8,DH
676059,1999,2,18,3B
641857,1994,12,14,3B
545361,1991,8,7,RF
682626,2001,11,19,C
664770,1994,7,12,RF
669701,1997,8,7,SS
664702,1994,10,17,CF
687462,1997,11,14,1B
664040,1994,7,6,2B
664761,1996,8,3,3B
663586,1997,4,2,3B
500743,1989,2,24,2B
673962,1998,2,12,3B
687363,2001,2,12,CF
624641,1996,3,6,2B
690993,2001,8,14,2B
673237,1998,9,21,C
665833,1998,10,4,CF
620443,1996,5,2,C
686527,1997,8,16,RF
663853,1996,9,6,1B
686469,1997,10,10,1B
681481,1997,9,2,RF
669707,1998,2,8,SS
666310,2000,2,21,C
670242,1997,12,12,RF
643565,1990,12,3,RF
694384,2002,2,14,1B
694497,2002,8,29,CF
672820,2000,1,25,2B
665019,1996,5,15,2B
595879,1992,12,1,CF
671739,2001,3,7,CF
680574,1999,8,6,2B
663647,1997,1,28,3B
687401,1998,7,14,SS
676914,1999,1,26,LF
595777,1993,2,20,LF
657757,1996,4,23,LF
643376,1995,4,15,C
678246,1999,11,17,3B
663698,1996,12,15,C
656775,1994,10,1,CF
645277,1997,1,7,2B
673357,1997,8,3,CF
666176,1999,4,8,CF
669720,1995,7,5,LF
542303,1990,11,12,DH
668939,1998,2,6,C
669242,1995,5,9,2B
609280,1995,3,2,LF
682622,2001,10,16,OF
663886,1996,8,16,C
671218,1999,9,7,LF
668804,1995,1,27,RF
572233,1991,3,28,1B
602104,1994,6,3,3B
664728,1997,3,3,CF
672356,2000,2,27,SS
608701,1991,3,26,RF
668715,1997,12,7,1B
677942,1999,6,11,SS
660821,1997,10,7,RF
543309,1990,4,20,C
668904,1999,6,5,3B
683011,2001,4,28,SS
663743,1996,11,11,C
666023,1995,5,16,C
665926,1998,9,4,2B
696285,1999,7,27,CF
656555,1993,3,17,1B
669743,1994,9,27,RF
650333,1997,4,9,IF
664034,1994,7,13,1B
571448,1991,4,16,3B
693304,1999,5,27,2B
641343,1995,10,6,1B
502671,1987,9,10,1B
605170,1993,8,17,C
666971,1993,10,10,LF
678662,2001,8,1,SS
663457,1997,9,8,LF
621438,1994,1,22,CF
656976,1996,2,6,1B
660162,1995,5,27,3B
516782,1988,10,9,LF
669477,1999,3,1,3B
671277,2000,5,16,2B
624428,1991,12,14,2B
642201,1994,6,26,RF
666969,1993,3,2,RF
643396,1995,3,23,SS
669397,1998,10,8,SS
666160,1998,5,13,RF
606192,1992,10,15,RF
691176,2003,2,7,LF
683734,1998,4,3,1B
596146,1993,2,10,LF
650489,1997,4,24,LF
681297,2000,3,20,LF
521692,1990,5,10,C
677950,2000,4,28,CF
642086,1995,6,15,1B
668901,1999,12,11,3B
686668,1998,5,14,CF
677587,2001,1,13,SS
553869,1990,11,17,C
666158,1997,11,23,LF
641584,1995,5,25,RF
467793,1986,4,8,1B
624431,1992,11,28,C
670764,1996,7,10,SS
543877,1990,8,21,C
643217,1994,7,6,LF
663616,1997,2,26,RF
502054,1988,3,8,LF
657557,1993,8,2,3B
670042,1994,9,19,RF
805373,2003,4,11,SS
678009,1999,11,2,CF
605137,1992,8,14,1B
642133,1995,3,16,1B
649966,1997,6,3,2B
678554,2000,10,26,1B
666149,1997,9,15,2B
666181,1998,6,16,LF
641598,1991,1,15,C
650859,1997,2,26,3B
667472,1996,3,8,CF
677649,1999,5,22,SS
457705,1986,10,10,RF
668709,1997,11,10,CF
807799,1993,7,15,LF
669394,1996,4,10,1B
666624,1999,6,24,LF
666139,1998,2,2,RF
664238,1992,8,2,2B
572191,1991,3,26,RF
664983,1997,7,30,CF
680779,1999,9,21,C
527038,1991,8,6,1B
669357,2000,5,10,2B
571771,1991,8,24,1B
578428,1990,1,5,2B
663993,1995,7,7,1B
641933,1995,6,22,RF
624585,1992,2,25,RF
663697,1996,12,15,2B
518595,1989,2,10,C
669289,1994,11,13,3B
645444,1997,2,24,C
545341,1991,8,13,RF
663624,1997,2,18,1B
666185,1998,10,23,LF
666134,1998,5,7,RF
686681,1998,3,22,2B
672744,2000,5,7,LF
641680,1995,6,27,C
592206,1992,3,4,RF
624424,1993,3,1,LF
671221,1998,12,30,LF
656180,1996,6,26,C
671289,1999,5,21,RF
647351,1996,12,20,1B
666397,1999,4,30,2B
681351,2000,2,9,C
592626,1992,4,21,1B
672724,2000,6,15,3B
657077,1996,5,15,LF
623993,1994,10,19,RF
606115,1994,8,4,SS
571657,1990,8,17,2B
660688,1998,7,20,C
691023,2002,5,22,RF
668942,1994,6,30,3B
664774,1994,1,1,1B
669911,1998,8,16,1B
669373,1996,11,20,P
650911,1996,12,12,P
676979,1999,6,21,P
657277,1996,11,18,P
666200,1997,9,30,P
808967,1998,8,17,P
608331,1994,1,18,P
686613,1998,8,29,P
592332,1991,1,6,P
664285,1993,11,19,P
624133,1995,8,26,P
554430,1990,5,30,P
671096,1999,6,1,P
601713,1993,2,14,P
543135,1990,2,13,P
642547,1996,6,4,P
693433,2000,1,30,P
543243,1989,11,7,P
608379,1991,7,1,P
519242,1989,3,30,P
571510,1991,2,2,P
594798,1988,6,19,P
656302,1995,12,28,P
669432,1997,11,13,P
663460,1997,8,19,P
607074,1992,12,10,P
657746,1996,6,5,P
518876,1988,10,14,P
656849,1995,9,3,P
667755,1998,10,20,P
663903,1996,8,4,P
668881,1999,8,6,P
669022,1999,2,24,P
666157,1998,2,5,P
671922,1999,5,9,P
622491,1992,12,12,P
665152,1996,1,7,P
669302,1997,5,5,P
547973,1988,2,28,P
477132,1988,3,19,P
656876,1995,7,27,P
622663,1994,2,20,P
656427,1995,10,15,P
579328,1991,6,17,P
676083,1996,1,15,P
656605,1996,4,4,P
607536,1993,5,14,P
663554,1997,5,1,P
605135,1989,2,22,P
669923,1998,2,4,P
605288,1993,2,2,P
670970,1999,2,27,P
592662,1991,10,1,P
676477,1996,6,11,P
434378,1983,2,20,P
650556,1997,4,22,P
607259,1990,8,5,P
661395,1998,1,8,P
686218,1999,11,15,P
666142,1997,12,12,P
686752,1997,8,21,P
608337,1994,7,14,P
669358,1999,6,17,P
665795,1998,4,13,P
669194,1998,2,1,P
621242,1994,3,22,P
670280,1994,10,10,P
695243,1998,8,24,P
682990,2000,9,16,P
605280,1993,3,27,P
676440,1999,3,5,P
678394,1999,5,17,P
607067,1990,7,1,P
691587,2003,4,15,P
571578,1989,7,19,P
641816,1994,9,29,P
605483,1992,12,4,P
663158,1991,3,1,P
662253,1999,1,16,P
669461,1999,11,6,P
543294,1989,12,7,P
605540,1993,2,10,P
676684,1995,6,6,P
671737,2001,3,20,P
641154,1996,3,7,P
694297,1998,10,15,P
605488,1992,9,20,P
645261,1995,9,7,P
671106,1998,9,5,P
663568,1997,4,18,P
642100,1995,4,12,P
682842,2000,6,20,P
656794,1993,6,12,P
643377,1994,11,22,P
668933,1998,2,11,P
656730,1993,12,5,P
669387,1999,2,19,P
607192,1993,8,23,P
595345,1991,7,9,P
641793,1995,10,5,P
656731,1995,7,28,P
664208,1993,3,25,P
621381,1991,11,12,P
668909,1999,7,26,P
641778,1995,6,3,P
673540,1993,1,30,P
805673,2000,5,22,P
542888,1990,9,11,P
681517,1997,6,4,P
681857,1999,7,31,P
678606,2000,3,3,P
642207,1994,9,21,P
621244,1994,5,27,P
593958,1993,4,7,P
678692,2000,6,20,P
663436,1997,1,4,P
641302,1994,7,14,P
643511,1990,12,17,P
641745,1995,7,27,P
663893,1996,8,11,P
657376,1996,2,20,P
656641,1996,4,8,P
623474,1993,9,9,P
592094,1991,8,4,P
680573,2000,9,27,P
682052,1998,3,11,P
547179,1992,1,4,P
641927,1995,7,12,P
676879,1998,5,24,P
672282,1999,7,8,P
642701,1996,4,12,P
686973,1997,12,9,P
640448,1991,9,4,P
592866,1992,4,25,P
668678,1995,8,3,P
592791,1991,11,18,P
694738,1998,9,10,P
623352,1994,4,7,P
656986,1995,4,6,P
571927,1991,5,29,P
661403,1998,3,18,P
666214,1997,10,6,P
676962,1999,9,9,P
608032,1992,12,28,P
573204,1987,1,31,P
647336,1997,8,4,P
663574,1997,4,15,P
680694,1996,9,12,P
664126,1993,12,16,P
681911,1996,4,11,P
628452,1990,1,4,P
458677,1987,8,18,P
669093,1998,11,1,P
571948,1991,1,13,P
641941,1991,5,7,P
694037,2000,2,5,P
670955,1998,1,9,P
684007,1993,9,1,P
668674,1995,5,1,P
693821,1999,5,19,P
656288,1996,5,11,P
675911,1998,10,28,P
657649,1994,1,24,P
641755,1991,1,31,P
605400,1993,6,4,P
668941,1996,9,9,P
622554,1994,11,25,P
682847,1999,1,27,P
650644,1995,6,12,P
664299,1997,3,26,P
623437,1991,3,7,P
500779,1989,1,24,P
669160,1997,9,6,P
621383,1991,10,24,P
681190,1998,11,3,P
650633,1995,5,25,P
657571,1996,7,2,P
670036,1993,3,11,P
552640,1990,3,17,P
663485,1997,7,17,P
518585,1990,3,28,P
657585,1993,1,2,P
667297,1991,3,19,P
683769,1998,4,9,P
666374,1998,5,12,P
687888,1996,9,8,P
527048,1991,4,4,P
689147,2001,4,4,P
677944,1999,6,24,P
669711,1995,2,4,P
669467,1998,9,18,P
663978,1996,1,8,P
669203,1994,10,22,P
519141,1988,11,22,P
543056,1989,10,26,P
664076,1994,4,23,P
592779,1991,10,3,P
663465,1997,8,13,P
472610,1987,1,30,P
655889,1996,8,6,P
642397,1995,2,11,P
643410,1991,3,13,P
445276,1987,9,30,P
676254,1995,11,26,P
571946,1990,10,10,P
596001,1992,9,16,P
657514,1992,1,15,P
661563,1998,6,3,P
666808,1997,7,4,P
676755,1995,7,14,P
669724,1998,5,29,P
700363,2002,11,20,P
669854,1993,8,31,P
455119,1986,6,2,P
663687,1996,12,26,P
642585,1995,6,20,P
669438,1999,11,1,P
676664,1996,2,19,P
607625,1989,11,17,P
663559,1997,4,24,P
593974,1991,7,27,P
660825,1995,9,1,P
683232,1996,10,7,P
676130,1998,3,19,P
673929,1998,8,15,P
592836,1992,8,13,P
676395,1996,6,14,P
680767,1999,10,9,P
596133,1993,8,21,P
641329,1994,12,2,P
656234,1995,12,4,P
608650,1991,5,16,P
676917,1998,8,14,P
676974,1999,3,12,P
690986,2001,8,12,P
671212,1999,8,14,P
657424,1993,2,11,P
660853,1995,12,25,P
623211,1989,10,15,P
453286,1984,7,27,P
506433,1986,8,16,P
681892,1996,11,27,P
656457,1993,12,22,P
615698,1995,2,10,P
669622,1995,2,3,P
607481,1993,9,21,P
594902,1992,3,5,P
681982,1997,6,21,P
621051,1994,8,24,P
686580,1997,9,15,P
640455,1992,2,1,P
605177,1990,6,17,P
669084,1998,9,19,P
677161,1995,3,3,P
663372,1996,9,2,P
450203,1983,11,12,P
571945,1988,8,23,P
656271,1996,8,4,P
672582,1999,9,27,P
669456,1995,5,31,P
665871,1997,7,30,P
676617,1995,2,6,P
572955,1991,5,10,P
668820,1997,7,21,P
670167,1994,3,5,P
608566,1995,2,22,P
669276,1994,8,1,P
663855,1996,9,6,P
664199,1993,5,13,P
670329,1994,1,10,P
660787,1997,12,12,P
657097,1993,8,15,P
656222,1993,7,10,P
669920,1993,3,1,P
573124,1990,12,17,P
674444,1999,6,15,P
657044,1992,6,26,P
664854,1994,7,18,P
670990,1995,5,6,P
670912,1998,3,2,P
677960,1999,12,17,P
689266,1998,6,6,P
680742,1996,12,1,P
669713,1997,12,5,P
693312,1999,2,22,P
676961,1993,10,1,P
621112,1993,12,4,P
605130,1992,12,18,P
607455,1993,8,10,P
669062,1998,2,13,P
592773,1991,7,26,P
622503,1994,12,25,P
642232,1991,12,31,P
666974,1994,3,9,P
672782,1999,10,15,P
573186,1991,5,1,P
542881,1989,12,30,P
606160,1990,10,17,P
608718,1989,8,29,P
672578,1997,3,11,P
664192,1993,6,6,P
680689,2000,1,18,P
800049,2001,4,20,P
657612,1990,2,10,P
676534,1995,9,22,P
806185,2001,8,30,P
676106,1999,5,31,P
682243,1998,8,23,P
595928,1993,4,5,P
642152,1991,10,1,P
687765,1998,5,6,P
593423,1993,3,21,P
641656,1995,6,16,P
663941,1996,6,24,P
621366,1994,3,31,P
656945,1994,7,22,P
663765,1996,10,28,P
489446,1987,3,25,P
668984,1997,6,19,P
622608,1995,1,21,P
664062,1994,5,14,P
620454,1996,1,10,P
681869,1995,9,6,P
605452,1993,5,21,P
663399,1994,6,3,P
570632,1991,9,12,P
663738,1996,11,17,P
663947,1996,6,13,P
547184,1992,9,6,P
607200,1993,2,25,P
669684,1998,6,5,P
606996,1992,11,23,P
592426,1991,8,24,P
621121,1993,10,2,P
471911,1987,3,21,P
592454,1989,8,7,P
621111,1994,7,28,P
621107,1994,4,8,P
623167,1994,7,1,P
571760,1991,6,5,P
673513,1995,10,30,P
641401,1995,1,29,P
519151,1988,12,15,P
663423,1993,9,30,P
672391,1992,2,5,P
641672,1994,9,29,P
687830,1997,12,12,P
656557,1996,6,29,P
656546,1993,1,8,P
663623,1997,2,18,P
682120,1996,10,8,P
678226,1996,9,15,P
667463,1994,9,14,P
669674,1995,7,8,P
605447,1993,4,21,P
689690,1998,6,16,P
596295,1993,11,23,P
669211,1995,4,1,P
671131,1999,4,1,P
656240,1996,4,10,P
687330,1997,11,28,P
660896,1995,7,28,P
669060,1997,12,20,P
672841,1999,10,13,P
674370,1995,10,18,P
683627,2002,1,12,P
666277,1999,3,24,P
543101,1990,4,18,P
670102,1996,4,22,P
643338,1991,5,24,P
641482,1994,12,10,P
650893,1996,10,10,P
